batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
1	PRRT_kwDOR3YK5M6WhUFW	1232	drm-shim: register render fds by their own backing identity	2026-08-05T01:50:38Z	2026-08-05T01:50:48Z	2026-08-05T02:01:43Z	false	src/drm-shim/device.c	2030	2030	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1232#discussion_r3717420728	54055c695ad4742ca4febcc275b079610c68311d2f5ed0373d0e98c509d639bc
2	PRRT_kwDOR3YK5M6WqAMl	1245	drm-shim: recover state-token identity from the name for path-only fds	2026-08-05T12:51:06Z	2026-08-05T12:51:16Z	2026-08-05T12:58:58Z	false	src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py	49	49	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1245#discussion_r3720736638	a79dc55bfc17ee17de10259ce196fbfc16d804f1290f3887fb59c249e7485606
3	PRRT_kwDOR3YK5M6WqAMt	1245	drm-shim: recover state-token identity from the name for path-only fds	2026-08-05T12:51:06Z	2026-08-05T12:51:16Z	2026-08-05T12:58:58Z	false	src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py	1	1	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1245#discussion_r3720736647	c322da1904b1a0db47e33b6306c7ab5bd3c2c4035648b6bf039db4033923ffad
4	PRRT_kwDOR3YK5M6XJkcU	1260	AGENTS: bind decision-grade results to a clean tree at the declared SHA	2026-08-07T01:21:46Z	2026-08-07T01:21:56Z	2026-08-07T01:27:24Z	false	AGENTS.md	997	997	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1260#discussion_r3732826709	a49bd4f3174083ad3ac5083a9efaee5f07886edf80dc558a3b19050c60eed085
5	PRRT_kwDOR3YK5M6XJkcb	1260	AGENTS: bind decision-grade results to a clean tree at the declared SHA	2026-08-07T01:21:46Z	2026-08-07T01:21:56Z	2026-08-07T01:27:24Z	false	AGENTS.md	997	997	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1260#discussion_r3732826716	08da1583ad9635a6cd9820b60f04b4ad1d82499646bf9e67acbb3f51a17494ac
6	PRRT_kwDOR3YK5M6XRpjE	1264	drm-shim: accept the state-token exec locator in the child identity parse	2026-08-07T12:50:17Z	2026-08-07T12:55:26Z	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	807	807	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908159	9c11889767dc89a4b1014701e38357e6a97e7db87532631c32a2d48d17478b9a
7	PRRT_kwDOR3YK5M6XRpjF	1264	drm-shim: accept the state-token exec locator in the child identity parse	2026-08-07T12:50:17Z	2026-08-07T12:55:26Z	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	810	810	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908164	44d0eca1aaf333ac784683b0560acdc3c5c1d0823c1063bd24a72e0c2ddca9e7
8	PRRT_kwDOR3YK5M6XRpjI	1264	drm-shim: accept the state-token exec locator in the child identity parse	2026-08-07T12:50:17Z	2026-08-07T12:55:26Z	2026-08-07T13:00:12Z	false	src/drm-shim/device.c	804	804	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1264#discussion_r3735908166	fc0e1f9f7448ec91d503c348b2d9b5f219b239990ef218d9d7b820e2c8fa1aec
9	PRRT_kwDOR3YK5M6XbEit	1270	r300: initialize free_comp in rc_constants_add_immediate_scalar	2026-08-08T00:31:04Z	2026-08-08T00:58:14Z	2026-08-08T00:32:57Z	true	src/gallium/drivers/r300/compiler/radeon_code.c		131	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1270#discussion_r3739522296	8cc2696a6266cb9a9e3098fd46f33c6dd7cdd2ed462c0eb825070b15d604b45f
10	PRRT_kwDOR3YK5M6XgW3D	1275	r3v: public triangle recording surface	2026-08-08T19:20:39Z	2026-08-08T21:28:01Z	2026-08-08T19:56:08Z	true	src/amd/r300/vulkan/r3v_native_queue.c		395	Oichkatzelesfrettschen;chatgpt-codex-connector	2	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1275#discussion_r3741488824	e49aff1cdd36ac5970a9600b3df87dd7b3a4e69ebde90cc29f8d354c755282f0
11	PRRT_kwDOR3YK5M6XgW3G	1275	r3v: public triangle recording surface	2026-08-08T19:20:39Z	2026-08-08T21:28:01Z	2026-08-08T19:56:08Z	true	src/amd/r300/vulkan/r3v_physical_device.c	1025	1014	Oichkatzelesfrettschen;chatgpt-codex-connector	2	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1275#discussion_r3741488829	a95533edc9cd77387c4ed12b9109de1841ca6e26a57b08d875d4c8b83d7b3281
12	PRRT_kwDOR3YK5M6XgcYX	1275	r3v: public triangle recording surface	2026-08-08T19:20:39Z	2026-08-08T21:28:01Z	2026-08-08T20:11:15Z	true	src/amd/r300/vulkan/r3v_native_queue.c		414	Oichkatzelesfrettschen;chatgpt-codex-connector	2	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1275#discussion_r3741522384	ca19156a85903f28b2ed0a2cae82124e0edb5be286b02ca3f3fff83f7067ecb9
13	PRRT_kwDOR3YK5M6Xglay	1275	r3v: public triangle recording surface	2026-08-08T19:20:39Z	2026-08-08T21:28:01Z	2026-08-08T20:38:44Z	true	src/amd/r300/vulkan/r3v_native_draw.c		202	Oichkatzelesfrettschen;chatgpt-codex-connector	2	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1275#discussion_r3741577465	a16224b8f861b949e1f4e28cc8856b267f0f08ccd1f5b19196e936b5009d64d5
14	PRRT_kwDOR3YK5M6XkBzu	1277	r3v: admit the reported extent range through the cell's scissor seam	2026-08-09T00:42:03Z	2026-08-09T05:23:13Z	2026-08-09T05:25:26Z	false	src/amd/r300/vulkan/r3v_native_cell.c	310	310	Oichkatzelesfrettschen;chatgpt-codex-connector	4	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1277#discussion_r3742746464	8f1dff32575d77b177fd1bf939ed8db3ec7b6176e844181d1aa3214302cfa91b
15	PRRT_kwDOR3YK5M6XtZQF	1290	Reconcile RS482 Radeon source and deployment authority	2026-08-10T00:13:29Z	2026-08-10T01:06:57Z	2026-08-10T00:51:33Z	false	docs/hardware/rs482-source-authority.md	79	79	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1290#discussion_r3745884585	9ca6b0d2329724a0e444994cd5632ba83721a6d2129d66c920b050930e900ac0
16	PRRT_kwDOR3YK5M6XtZQI	1290	Reconcile RS482 Radeon source and deployment authority	2026-08-10T00:13:29Z	2026-08-10T01:06:57Z	2026-08-10T00:51:33Z	false	docs/hardware/rs482-source-authority.md	82	82	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1290#discussion_r3745884588	adeb57781af259cbdd8d7b37a5b88c01017ddacf9facbaa51c8e25798b39dc94
17	PRRT_kwDOR3YK5M6X27Yd	1304	terakan: restore view index before single-view draws	2026-08-10T11:54:55Z	2026-08-10T11:59:27Z	2026-08-10T12:00:06Z	false	src/amd/terascale/vulkan/terakan_draw.c	404	404	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1304#discussion_r3749258901	646b509f811924a234e95d7bcf358d7642fcedf9aae9b02c585e2a10f6c5e738
18	PRRT_kwDOR3YK5M6X27Yi	1304	terakan: restore view index before single-view draws	2026-08-10T11:54:55Z	2026-08-10T11:59:27Z	2026-08-10T12:00:06Z	false	src/amd/terascale/vulkan/tests/terakan_multiview_state_contract_test.py	1	1	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1304#discussion_r3749258906	caac2249447d9b9547e27f3edcad3c0b1f75b1f1b0e6d7d9411dd07cf2b19ea6
19	PRRT_kwDOR3YK5M6X3byR	1305	terakan: close softfp64 initialization failure paths	2026-08-10T12:20:59Z	2026-08-10T12:21:30Z	2026-08-10T12:26:10Z	false	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	58	58	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1305#discussion_r3749439672	4809cefe0e7a587e2eba3911ece99fc871004d7736eb486cd390b1e7702723c4
20	PRRT_kwDOR3YK5M6X3lYa	1306	terakan: harden softfp64 failure contract test	2026-08-10T12:29:02Z	2026-08-10T12:29:55Z	2026-08-10T12:33:42Z	false	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	65	65	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1306#discussion_r3749492959	6ef8eaceb4fa2ea0a38a92d7e63077340b4986e002d55d3f8b79df02c4b881de
