work_group_id	review_path	source_anchor	thread_count	claim_group_count	pull_request_count	merged_pull_request_threads	closed_pull_request_threads	open_pull_request_threads	current_threads	outdated_threads	oldest_thread_created_at	newest_thread_created_at	representative_thread_id	classification_state	next_action
work-terakan-draw-c-terakan-cmddraw-vkcommandbuffer-const-commandbuffer-uint3-900f68a6fb22	src/amd/terascale/vulkan/terakan_draw.c	terakan cmddraw vkcommandbuffer const commandbuffer uint32 t const vertexcount	1	1	1	0	1	0	1	0	2026-05-15T12:00:15Z	2026-05-15T12:00:15Z	PRRT_kwDOR3YK5M6CWWKm	unassessed	inspect-current-main-and-history
work-terakan-nir-lower-abi-c-terakan-nir-binding-mutable-resource-93b555541a7e	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	terakan nir binding mutable resource index	1	1	1	0	1	0	1	0	2026-05-16T02:25:34Z	2026-05-16T02:25:34Z	PRRT_kwDOR3YK5M6ChBF4	unassessed	inspect-current-main-and-history
work-terakan-dmabuf-carrier-c-static-const-struct-terakan-carrier-policy-b84601ff7ee9	src/amd/terascale/vulkan/terakan_dmabuf_carrier.c	static const struct terakan carrier policy palm carrier policy	1	1	1	0	1	0	1	0	2026-05-18T22:44:41Z	2026-05-18T22:44:41Z	PRRT_kwDOR3YK5M6C_gYg	unassessed	inspect-current-main-and-history
work-vl-h264-slice-parser-c-original-line-201-66c947bbe1e8	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	original line 201	1	1	1	0	1	0	1	0	2026-06-22T22:06:09Z	2026-06-22T22:06:09Z	PRRT_kwDOR3YK5M6LaOsq	unassessed	inspect-current-main-and-history
work-vl-h264-slice-parser-test-c-original-line-87-43283acd7a1b	src/gallium/auxiliary/vl/tests/vl_h264_slice_parser_test.c	original line 87	1	1	1	0	1	0	1	0	2026-06-22T22:06:09Z	2026-06-22T22:06:09Z	PRRT_kwDOR3YK5M6LaOsk	unassessed	inspect-current-main-and-history
work-vl-h264-cavlc-tables-h-original-line-7-5cb04185aaf6	src/gallium/auxiliary/vl/vl_h264_cavlc_tables.h	original line 7	1	1	1	0	1	0	1	0	2026-06-24T18:15:13Z	2026-06-24T18:15:13Z	PRRT_kwDOR3YK5M6L_w9G	unassessed	inspect-current-main-and-history
work-vl-h264-mb-decode-c-original-line-212-e3e3d014fc2d	src/gallium/auxiliary/vl/vl_h264_mb_decode.c	original line 212	2	2	1	0	2	0	2	0	2026-06-24T18:15:13Z	2026-06-24T18:15:13Z	PRRT_kwDOR3YK5M6L_w9U	unassessed	inspect-current-main-and-history
work-vl-h264-slice-parser-c-original-line-187-97c53e0beb1e	src/gallium/auxiliary/vl/vl_h264_slice_parser.c	original line 187	1	1	1	0	1	0	1	0	2026-06-24T18:15:13Z	2026-06-24T18:15:13Z	PRRT_kwDOR3YK5M6L_w9c	unassessed	inspect-current-main-and-history
work-terakan-softfp64-lifetime-contract-test-py-original-line-58-fec8187937aa	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	original line 58	1	1	1	1	0	0	1	0	2026-08-10T12:26:10Z	2026-08-10T12:26:10Z	PRRT_kwDOR3YK5M6X3byR	unassessed	inspect-current-main-and-history
work-terakan-softfp64-lifetime-contract-test-py-def-verify-contract-source-e5c30b962861	src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py	def verify contract source str meson str softfp64 str none	1	1	1	1	0	0	1	0	2026-08-10T12:33:42Z	2026-08-10T12:33:42Z	PRRT_kwDOR3YK5M6X3lYa	unassessed	inspect-current-main-and-history
