batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
1	PRRT_kwDOR3YK5M6D9-pq	167	build-infra: consolidate terakan pair descriptors + fix install prefix routing	2026-05-22T00:24:14Z	2026-05-22T00:24:22Z	2026-05-22T00:28:15Z	false	build-infra/Makefile	407	407	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/167#discussion_r3285098083	fb5a29da19867bcaeb1b5254590edfd5b98e891db6ef8abcd623483c449f5603
2	PRRT_kwDOR3YK5M6D9-pu	167	build-infra: consolidate terakan pair descriptors + fix install prefix routing	2026-05-22T00:24:14Z	2026-05-22T00:24:22Z	2026-05-22T00:28:15Z	false	build-infra/Makefile	510	510	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/167#discussion_r3285098087	f9fe6c547e0f8ac3174efc12e99858717173203ca004dd2eca473c1b1ee5f9ee
3	PRRT_kwDOR3YK5M6D-RLW	168	build-infra: detect install prefix via install.dat pickle + flock recovery + .PHONY (follow-up to #167)	2026-05-22T01:02:07Z	2026-05-22T01:02:15Z	2026-05-22T01:04:44Z	false	build-infra/Makefile	412	412	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285202934	e801b2fc938da762a9179e7e95c7ad5df1d5960b99983abb15b9f0aa676650be
4	PRRT_kwDOR3YK5M6D-SVg	168	build-infra: detect install prefix via install.dat pickle + flock recovery + .PHONY (follow-up to #167)	2026-05-22T01:02:07Z	2026-05-22T01:02:15Z	2026-05-22T01:06:37Z	false	build-infra/Makefile	405	405	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285209711	af54c7c2e5f86f64078106bf4c7b3b48b749c35ddabe41ebdbcde24c44ce4165
5	PRRT_kwDOR3YK5M6D-Wag	168	build-infra: detect install prefix via install.dat pickle + flock recovery + .PHONY (follow-up to #167)	2026-05-22T01:02:07Z	2026-05-22T01:02:15Z	2026-05-22T01:14:37Z	false	build-infra/Makefile	414	414	sourcery-ai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/168#discussion_r3285233164	6acbbb1f3b355984851c06f718ef2d3d11e8cd5dc16b62c9dbddf8a98318492e
6	PRRT_kwDOR3YK5M6EF0s8	189	terakan: NIR pass lowering 24-bit-fit imul to umul24 for SPIRV shaders	2026-05-22T11:14:30Z	2026-05-22T11:14:34Z	2026-05-22T11:18:55Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_24bit_mul_hint.c	22	22	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/189#discussion_r3287965200	040ff2d88b957611f6c8c60707e58d3dfc38ce1ff8542ff17991eca0f2e1d631
7	PRRT_kwDOR3YK5M6ELsI1	191	mesa reviewer batch 3: NIR 24-bit + distcc-pump env mechanism-only voice + docs sync	2026-05-22T17:05:42Z	2026-05-22T17:05:45Z	2026-05-22T17:09:27Z	false	build-infra/x130e-distcc-pump.md	91	91	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/191#discussion_r3290067558	c9de0bb9cc316a5bdb18d169eb1b90435fd69aebc2bf86a17d013667772aabeb
8	PRRT_kwDOR3YK5M6ELsJY	191	mesa reviewer batch 3: NIR 24-bit + distcc-pump env mechanism-only voice + docs sync	2026-05-22T17:05:42Z	2026-05-22T17:05:45Z	2026-05-22T17:09:28Z	false	build-infra/README.md	142	142	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/191#discussion_r3290067606	da903a1777298fd8932dfde210511f6f61bed6045ad1ea5c6789f849413566de
9	PRRT_kwDOR3YK5M6ENfNy	195	build: pin rust toolchain to stable 1.95.0	2026-05-22T19:05:44Z	2026-05-22T19:05:49Z	2026-05-22T19:09:28Z	false	rust-toolchain.toml	2	2	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/195#discussion_r3290731631	cc894621d92eea3a5015aa92c8aaf80da043aa2b2391e4a4d61d6111407387ea
10	PRRT_kwDOR3YK5M6EPmB-	196	r600/sfn: clause-split on readport exhaustion (mirror KCACHE-preflight pattern)	2026-05-22T22:29:01Z	2026-05-22T22:29:04Z	2026-05-22T22:32:16Z	false	src/gallium/drivers/r600/sfn/sfn_instr.h	246	246	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/196#discussion_r3291478264	f62021559263a0eaa8c8b6cf869324a6b4f1fa2259b11167c23d8d20cbaaf5da
