batch_rank	thread_id	pr_number	pr_title	pr_created_at	pr_merged_at	thread_created_at	is_outdated	review_path	line	original_line	review_authors	comment_count	first_comment_url	first_comment_sha256
1	PRRT_kwDOR3YK5M6QZNKs	1111	vl: unbind H.264 test shaders before deletion	2026-07-13T12:49:30Z	2026-07-13T12:49:38Z	2026-07-13T12:51:19Z	false	src/gallium/auxiliary/vl/tests/vl_h264_idct_test.c	402	402	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1111#discussion_r3570756896	e7f1b0db78d2d633de98a12b0deff04344d079467240d724d9cafa2b5b25e3a6
2	PRRT_kwDOR3YK5M6QZnz7	1113	build: prove remote distcc dispatch in host audit	2026-07-13T13:07:08Z	2026-07-13T13:07:31Z	2026-07-13T13:13:43Z	false	build-infra/Makefile	425	425	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570905506	7785ff09c9cd61289c6454dc8e6df16489ab30f2e9072a17de4e0d558d12f428
3	PRRT_kwDOR3YK5M6QZn0M	1113	build: prove remote distcc dispatch in host audit	2026-07-13T13:07:08Z	2026-07-13T13:07:31Z	2026-07-13T13:13:44Z	false	build-infra/Makefile	438	438	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570905534	06f5c1fac78af2e288dc1aa1709ddf07839012b9bef88339681e1423afda7e8c
4	PRRT_kwDOR3YK5M6QZrBQ	1113	build: prove remote distcc dispatch in host audit	2026-07-13T13:07:08Z	2026-07-13T13:07:31Z	2026-07-13T13:16:24Z	false	build-infra/Makefile	434	434	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570923291	3688715bab3e148ae88ddbb13a67b22c035ce4abac15179b5c37ebf69f87bf6b
5	PRRT_kwDOR3YK5M6QZrBU	1113	build: prove remote distcc dispatch in host audit	2026-07-13T13:07:08Z	2026-07-13T13:07:31Z	2026-07-13T13:16:24Z	false	build-infra/Makefile	444	444	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1113#discussion_r3570923296	16a92c1d6519656fe833b4d8aff6a0c6cab59d763feac96a6ea7f175f437a8f6
6	PRRT_kwDOR3YK5M6Qacnw	1114	r300: publish Draw NIR executable input spans	2026-07-13T13:39:05Z	2026-07-13T13:39:43Z	2026-07-13T13:54:39Z	false	src/gallium/auxiliary/draw/draw_vs_nir.c	522	522	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1114#discussion_r3571201040	7fa7eb3e86bf39c93b84e2bc007e172c5ae1247918eb7dd67a3e8f3fec78fa5c
7	PRRT_kwDOR3YK5M6Qaw1N	1115	packaging: own the complete Vulkan implicit layer slot	2026-07-13T13:59:18Z	2026-07-13T14:04:33Z	2026-07-13T14:09:01Z	false	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	235	235	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1115#discussion_r3571313083	f44ffca9266f53c86150e1a59fd03ed652844b5d941348d81159c6acb362f00f
8	PRRT_kwDOR3YK5M6Qaw1U	1115	packaging: own the complete Vulkan implicit layer slot	2026-07-13T13:59:18Z	2026-07-13T14:04:33Z	2026-07-13T14:09:01Z	false	build-infra/packaging/mesa-gororoba-debug-optimized/PKGBUILD	235	235	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1115#discussion_r3571313092	0f532a3720ba92039a293d9e2793b32679fb556d7f44b981957694d4be527f8a
9	PRRT_kwDOR3YK5M6Qf30u	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:30:59Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	240	240	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573173435	e2943417a54b7a44a35eeb0af0c6cde62b14ee905d88938262acc678ee533bdb
10	PRRT_kwDOR3YK5M6Qf309	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:31:00Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	245	245	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573173456	f73795fd005c812b71edd917665f68587531904181a0822f531fd3eed9856cbd
11	PRRT_kwDOR3YK5M6Qf31V	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:31:00Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	599	599	copilot-pull-request-reviewer	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573173487	b9f41327e8d1414c3dfbf79d7372e611396acf1b21cf08d682a0b636e92f677e
12	PRRT_kwDOR3YK5M6Qf8yR	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:34:57Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	245	245	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573202527	c068eb67e917ca4beb11745f7a9eb425fd2082659ef19556020c8def3afb1539
13	PRRT_kwDOR3YK5M6Qf8yY	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:34:57Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	624	624	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573202536	1f1fc18923a492f9c967edf68bec641cce1849caf38578eef3b71764aeb03820
14	PRRT_kwDOR3YK5M6Qf8yb	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:34:57Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	397	397	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573202540	49106b6c9ac523eb53d65700f5b521da8b7f77125f9fca681d86884a07459a0b
15	PRRT_kwDOR3YK5M6Qf8yh	1117	docs/r300: reconcile HBTCL status, wedge taxonomy, and producer budget	2026-07-13T18:27:48Z	2026-07-13T18:28:08Z	2026-07-13T18:34:57Z	false	docs/hardware/rs482-hybrid-vertex-tcl-design.md	459	459	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1117#discussion_r3573202548	935b3aceaf86481f7d536c402b1236614f48d5dd9f28dac9139e84887392c3f6
16	PRRT_kwDOR3YK5M6Q-J57	1125	docs/r300: design the typed-split production-route integration (HBTCL-04f.3R)	2026-07-15T03:58:32Z	2026-07-15T04:36:17Z	2026-07-15T04:03:05Z	true	docs/hardware/rs482-producer-alu-compaction-design.md		344	coderabbitai	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1125#discussion_r3584376386	f3bd7c6eef0c609bc8389a8483b93d1e5f4cb10cbd45b11e22cb352079845fe0
17	PRRT_kwDOR3YK5M6Q-LLU	1125	docs/r300: design the typed-split production-route integration (HBTCL-04f.3R)	2026-07-15T03:58:32Z	2026-07-15T04:36:17Z	2026-07-15T04:05:07Z	true	docs/hardware/rs482-producer-alu-compaction-design.md		392	chatgpt-codex-connector	1	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1125#discussion_r3584383822	5a0a10e8f29cd14391735171115b1602e52ab59d16ec82b3f4d04b37842f61fa
