thread_id	relationship	current_target	source_change_commit	evidence_kind	evidence_commit	evidence_pr	evidence_merged_at
PRRT_kwDOR3YK5M6C_gYg	same-source	src/amd/terascale/vulkan/terakan_dmabuf_carrier.c	78a1d9807520e55245a5ae69cd37cf444d4b63df	direct-main	78a1d9807520e55245a5ae69cd37cf444d4b63df	""	""
PRRT_kwDOR3YK5M6Yimy3	renamed-source	src/amd/r300/common/r300_reg.h	02e578b642d027a714510588270ca37eef1888e6	merged-pr	02e578b642d027a714510588270ca37eef1888e6	1587	2026-08-13T02:00:20Z
PRRT_kwDOR3YK5M6ZIGc_	moved-source	src/amd/r300/vulkan/r3v_delivery_route.h	31650bf8e57d52a812104aeb6cc60449099a86d1	merged-pr	813f5899cd3d315aa4c84213e5be5101fc03f698	1978	2026-08-28T06:23:47Z
PRRT_kwDOR3YK5M6bF0B5	moved-source	src/amd/r300/vulkan/r3v_compute_spirv.c	31650bf8e57d52a812104aeb6cc60449099a86d1	merged-pr	813f5899cd3d315aa4c84213e5be5101fc03f698	1978	2026-08-28T06:23:47Z
PRRT_kwDOR3YK5M6bGNq5	moved-source	src/amd/r300/vulkan/r3v_vertex_spirv.c	31650bf8e57d52a812104aeb6cc60449099a86d1	merged-pr	813f5899cd3d315aa4c84213e5be5101fc03f698	1978	2026-08-28T06:23:47Z
PRRT_kwDOR3YK5M6bGNqz	moved-source	src/amd/r300/vulkan/r3v_vertex_spirv.c	31650bf8e57d52a812104aeb6cc60449099a86d1	merged-pr	813f5899cd3d315aa4c84213e5be5101fc03f698	1978	2026-08-28T06:23:47Z
PRRT_kwDOR3YK5M6bGb9D	moved-source	src/amd/r300/vulkan/r3v_vertex_spirv.c	31650bf8e57d52a812104aeb6cc60449099a86d1	merged-pr	813f5899cd3d315aa4c84213e5be5101fc03f698	1978	2026-08-28T06:23:47Z
PRRT_kwDOR3YK5M6Z6OR9	removed-source		57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	merged-pr	57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	1698	2026-08-22T21:53:38Z
PRRT_kwDOR3YK5M6bXyZt	removed-source		57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	merged-pr	57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	1698	2026-08-22T21:53:38Z
PRRT_kwDOR3YK5M6bXyZv	removed-source		57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	merged-pr	57cd7d18c3db8e4e49b94006c5974c1d68dfa5b7	1698	2026-08-22T21:53:38Z
PRRT_kwDOR3YK5M6ajnPN	renamed-source	src/amd/r300/common/tests/run_r2vb_tuple_width_burst_replay.sh	99b06c460b894559903321a88c26b6addad2b79c	merged-pr	e3ea414d33d430b41187cebe1a1987e06fcc42a0	2055	2026-08-29T14:13:48Z
